PC1,PC2,PC3,PC4,PC5,Sample Names
-0.014856682,-0.07350591,-0.226743884,0.287320157,0.045348362,A_100
1.273839255,-0.037696242,0.108584488,0.016183103,-0.105745466,A_50
2.006151317,0.128408948,0.092820901,0.071656677,-0.012742412,A_50
0.962954571,-0.663372598,0.149408114,0.097856651,-0.041815093,A_50
-5.317908314,0.150814068,-0.117644669,0.097527894,-0.618637107,B_100
-1.550832843,0.723903076,0.322445321,0.128870142,0.171591883,B_100
-4.120399871,0.631680285,-0.097115636,0.388694403,0.254093887,B_100
-0.053981873,-0.486099959,0.131194567,0.010251191,-0.04406043,B_50
-0.547887715,-0.222284137,-0.065807915,0.306410542,0.124348972,B_50
-1.862147884,-0.351360746,-0.465165451,0.112117849,0.070391369,D_100
-0.363409832,0.002464636,-0.361021938,-0.134580227,-0.013142545,D_100
1.088682849,-0.28645487,-0.2556077,0.022311207,0.118159104,D_50
0.254464102,-0.390098001,-0.05027253,0.289598539,-0.010990004,D_50
1.875115074,-0.168753668,-0.083085615,0.042227052,0.150143438,D_50
0.791793676,-0.640259013,-0.427975157,-0.306201128,-0.007323671,M_100
0.931248822,-0.119550494,-0.621873341,-0.210023714,0.069061288,M_100
1.203606864,-0.284367069,-0.156627257,-0.16394534,0.032299491,M_50
0.355402217,-0.442700206,-0.281875037,0.087884225,0.017293355,M_50
-3.480692431,0.413900449,0.057294741,-0.10623934,0.071102596,T2_100
-5.210509167,0.704039531,-0.1490013,0.315763189,-0.109316116,T2_100
-2.786062924,0.647677154,-0.021215908,0.000664669,0.01513374,T2_100
0.0421856,-1.141158524,0.154782864,0.020616874,-0.070980907,T2_25
1.054844051,-0.469473699,0.190986634,-0.013385363,0.061906701,T2_25
1.727052977,-0.104245157,0.160098757,-0.004314264,-0.035413865,T2_25
-1.447699537,-0.560847033,0.274110948,-0.02027814,0.047319492,T2_50
-0.825920484,-0.484374166,0.077038583,-0.042452387,0.008521807,T2_50
-1.437370094,0.003786641,-0.036306666,-0.390397016,0.018492619,T2_75
-3.021702837,-0.531091815,0.317997375,-0.171799005,0.11540277,T2_75
-3.224796185,0.493702298,-0.184808652,-0.279323471,0.002669699,T_100
-4.262332433,0.089731957,0.013789678,-0.203606298,0.242820318,T_100
-3.733485058,0.368124458,0.057605147,-0.218146382,-0.106672511,T_100
2.420179721,0.04698252,0.102194452,-0.116252478,-0.015866414,T_25
1.831073163,-0.014754172,0.140401825,-0.016877532,-0.012921707,T_25
1.797668978,-0.155148653,0.123484497,0.085127317,-0.015227112,T_25
0.776757801,0.080289338,0.126743755,0.011278902,-0.054397452,T_50
0.985437274,0.002921066,0.110593474,-0.116698397,-0.146498154,T_50
1.463010652,0.311233935,0.174553931,-0.08304297,-0.099269998,T_50
-1.221654962,0.235364147,0.343257211,0.041672099,0.044319008,T_75
-0.975174236,0.263616736,0.28740104,-0.103489987,0.025831108,T_75
-1.659561324,-0.044451264,0.224210271,-0.15692283,0.073578914,T_75
2.819671534,0.05502492,0.036960013,0.070997454,-0.092336845,V1_0
6.124228663,2.055961404,-0.065122091,-0.094384089,0.019398098,V1_0
3.053548162,0.38261843,-0.141577214,0.054832456,0.019547371,V2_0
2.041244396,-0.421552351,0.096293329,0.130119254,0.048732091,V2_0
2.024039033,-0.004031591,-0.170112116,0.191705792,-0.077388879,V2_0
3.386610824,0.306833548,0.070178936,-0.052238419,-0.055822847,V_0
3.20753809,0.147262909,0.01242762,0.00152552,-0.083538134,V_0
1.620037021,-0.148711117,0.022101605,0.121385619,-0.03739981,V_0
